epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.0922,0.84475,0.73801,1.2261,0.85676,0.8886,0.93189,0.72438,0.77409,0.60276,1.36401,0.000472641,0.000472641,0.000472641
2,99.6833,0.90608,0.82187,1.25818,0.72637,0.85778,0.89398,0.65897,0.93265,0.76792,1.51574,0.000917658,0.000917658,0.000917658
3,148.047,0.98638,0.90214,1.31108,0.74485,0.87633,0.88815,0.62559,0.94213,0.83555,1.51171,0.00133124,0.00133124,0.00133124
4,196.042,0.98253,0.91431,1.30978,0.67723,0.87,0.83497,0.59899,0.90086,0.89736,1.47267,0.00128753,0.00128753,0.00128753
5,244.026,0.99713,0.90846,1.31907,0.77696,0.86841,0.90221,0.68115,0.89055,0.76874,1.46484,0.00124037,0.00124037,0.00124037
6,292.012,0.96883,0.89538,1.30156,0.83023,0.88449,0.8869,0.65416,0.89286,0.72427,1.49389,0.00119322,0.00119322,0.00119322
7,339.98,0.97465,0.90086,1.31811,0.75339,0.86192,0.87313,0.65316,0.90466,0.85231,1.46765,0.00114606,0.00114606,0.00114606
8,388.346,0.98268,0.8955,1.31566,0.84832,0.8729,0.90023,0.6434,0.95069,0.68824,1.51583,0.0010989,0.0010989,0.0010989
9,436.761,0.95513,0.88614,1.29626,0.83584,0.90801,0.91768,0.68033,0.97337,0.69693,1.59095,0.00105174,0.00105174,0.00105174
10,485.12,0.9333,0.85578,1.28178,0.79615,0.90764,0.91808,0.6926,0.84315,0.75143,1.42431,0.00100459,0.00100459,0.00100459
11,533.409,0.93467,0.81239,1.28429,0.8108,0.89573,0.88336,0.6669,0.84477,0.67915,1.41389,0.00095743,0.00095743,0.00095743
12,581.712,0.91143,0.8079,1.26697,0.78741,0.90628,0.91459,0.69779,0.82295,0.85831,1.38211,0.000910273,0.000910273,0.000910273
13,630.026,0.90528,0.79981,1.25477,0.81844,0.92297,0.9328,0.70149,0.85537,0.70221,1.41,0.000863116,0.000863116,0.000863116
14,678.434,0.88077,0.77988,1.2466,0.85085,0.9311,0.93098,0.72593,0.74859,0.65887,1.34825,0.000815959,0.000815959,0.000815959
15,726.797,0.87241,0.76877,1.24118,0.76778,0.88021,0.91442,0.69551,0.79782,0.72009,1.36572,0.000768802,0.000768802,0.000768802
16,775.187,0.88498,0.7572,1.23937,0.80032,0.90108,0.90977,0.69329,0.79066,0.74011,1.39833,0.000721645,0.000721645,0.000721645
17,823.49,0.87204,0.74938,1.24288,0.83265,0.91576,0.9435,0.72308,0.78337,0.67854,1.35282,0.000674488,0.000674488,0.000674488
18,871.869,0.84516,0.73624,1.23352,0.84196,0.91092,0.93338,0.72924,0.7796,0.60139,1.35081,0.000627331,0.000627331,0.000627331
19,920.194,0.83011,0.72553,1.21388,0.7453,0.82938,0.87753,0.6812,0.77568,0.83411,1.34761,0.000580174,0.000580174,0.000580174
20,968.588,0.83893,0.72735,1.21982,0.79677,0.89923,0.93966,0.72668,0.79353,0.70997,1.38586,0.000533017,0.000533017,0.000533017
21,1032.98,0.67565,0.48175,1.13251,0.79803,0.87446,0.91881,0.70155,0.80171,0.6996,1.37412,0.00048586,0.00048586,0.00048586
22,1081.06,0.65093,0.44917,1.11328,0.81898,0.92424,0.93218,0.73018,0.76906,0.60258,1.35546,0.000438703,0.000438703,0.000438703
23,1129.05,0.63236,0.43336,1.09223,0.75061,0.84277,0.88657,0.69817,0.73047,0.81829,1.3157,0.000391546,0.000391546,0.000391546
24,1177.13,0.6318,0.42316,1.09868,0.78398,0.8831,0.9169,0.74149,0.71735,0.65383,1.29667,0.000344389,0.000344389,0.000344389
25,1225.28,0.60178,0.40337,1.0739,0.78692,0.84194,0.92193,0.74045,0.70941,0.74086,1.2957,0.000297232,0.000297232,0.000297232
26,1273.07,0.59664,0.40457,1.06926,0.79881,0.89791,0.91972,0.73207,0.73403,0.71386,1.31035,0.000250075,0.000250075,0.000250075
27,1320.58,0.58664,0.39167,1.07259,0.81205,0.8828,0.91715,0.73286,0.7262,0.69297,1.30252,0.000202918,0.000202918,0.000202918
28,1368.03,0.56598,0.37424,1.04078,0.84792,0.89942,0.94146,0.76147,0.716,0.57836,1.29916,0.000155761,0.000155761,0.000155761
29,1415.88,0.55412,0.36377,1.03525,0.82556,0.86817,0.92522,0.75247,0.70367,0.6737,1.28305,0.000108604,0.000108604,0.000108604
30,1463.76,0.53728,0.35534,1.02482,0.8297,0.84693,0.92013,0.74605,0.699,0.71623,1.28007,6.1447e-05,6.1447e-05,6.1447e-05
