epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.986,1.37224,2.46633,1.61576,0.26283,0.47102,0.32227,0.13904,1.92196,3.33826,2.88254,0.000473865,0.000473865,0.000473865
2,173.997,1.62546,2.00971,1.79378,0.28362,0.46389,0.26786,0.10667,2.30992,2.37372,3.00427,0.00093452,0.00093452,0.00093452
3,244.489,1.65351,2.00757,1.82611,0.49226,0.5495,0.46978,0.24262,1.76496,1.89641,2.45722,0.00137946,0.00137946,0.00137946
4,314.244,1.579,1.93204,1.76542,0.43285,0.39574,0.28291,0.15141,1.63066,2.34249,2.31694,0.00135826,0.00135826,0.00135826
5,384.341,1.53455,1.80945,1.71379,0.67905,0.53186,0.5858,0.3394,1.43648,1.59905,2.05673,0.00133469,0.00133469,0.00133469
6,455.599,1.45293,1.67232,1.66251,0.58053,0.7187,0.68166,0.39117,1.31858,1.3797,1.86918,0.00131111,0.00131111,0.00131111
7,525.604,1.4253,1.63026,1.64103,0.64705,0.74557,0.76661,0.43307,1.34763,1.46746,1.94923,0.00128753,0.00128753,0.00128753
8,595.498,1.3606,1.49812,1.59019,0.67873,0.67679,0.72337,0.47581,1.1753,1.27734,1.75761,0.00126395,0.00126395,0.00126395
9,665.488,1.33612,1.47885,1.57043,0.53452,0.73912,0.67558,0.40588,1.33802,1.30616,1.89032,0.00124037,0.00124037,0.00124037
10,735.332,1.31949,1.42997,1.56377,0.84624,0.85914,0.90089,0.58665,1.20009,0.86503,1.79528,0.00121679,0.00121679,0.00121679
11,806.628,1.29275,1.38084,1.53998,0.77493,0.83221,0.85976,0.59037,1.1079,0.9526,1.67486,0.00119322,0.00119322,0.00119322
12,876.676,1.27305,1.31545,1.51655,0.75443,0.79745,0.84162,0.58504,1.01271,0.9904,1.60798,0.00116964,0.00116964,0.00116964
13,946.775,1.24713,1.32006,1.51,0.68196,0.78296,0.81066,0.54044,1.09264,1.08527,1.67081,0.00114606,0.00114606,0.00114606
14,1017.12,1.22875,1.26566,1.48806,0.80315,0.87534,0.9125,0.60898,1.10979,0.83865,1.69171,0.00112248,0.00112248,0.00112248
15,1086.77,1.19849,1.24162,1.47341,0.77199,0.77348,0.85994,0.58452,1.09495,1.02294,1.6471,0.0010989,0.0010989,0.0010989
16,1157.65,1.1836,1.21266,1.46861,0.78093,0.80425,0.85453,0.5899,1.04874,0.92587,1.60808,0.00107532,0.00107532,0.00107532
17,1227.4,1.1746,1.1839,1.43916,0.86658,0.84376,0.89755,0.63986,0.97012,0.77969,1.57753,0.00105174,0.00105174,0.00105174
18,1296.61,1.15259,1.16861,1.43931,0.6577,0.74774,0.76973,0.53351,1.01601,1.4645,1.59486,0.00102817,0.00102817,0.00102817
19,1367.71,1.15806,1.16237,1.43803,0.84223,0.83169,0.91727,0.647,0.9707,0.79604,1.5326,0.00100459,0.00100459,0.00100459
20,1437.69,1.12208,1.12355,1.41664,0.86267,0.84542,0.91987,0.6441,0.97285,0.76521,1.55795,0.000981008,0.000981008,0.000981008
21,1509.67,1.12884,1.11035,1.41966,0.81697,0.88716,0.9067,0.65036,0.93296,0.76927,1.50976,0.00095743,0.00095743,0.00095743
22,1580.12,1.09325,1.08278,1.39298,0.86108,0.91614,0.94271,0.70196,0.90264,0.63093,1.49052,0.000933851,0.000933851,0.000933851
