epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.1055,1.35909,2.47203,1.62064,0.20649,0.59793,0.20519,0.08835,1.89461,7.05036,2.90796,0.000473865,0.000473865,0.000473865
2,110.862,1.59631,2.01864,1.78434,0.35839,0.45513,0.36966,0.1627,1.84459,2.02822,2.48205,0.00093452,0.00093452,0.00093452
3,162.33,1.63011,1.97355,1.81303,0.39136,0.59376,0.52105,0.23629,1.93218,2.19891,2.80065,0.00137946,0.00137946,0.00137946
4,213.767,1.59999,1.87879,1.7928,0.60891,0.76464,0.70134,0.36332,1.62601,1.2892,2.31523,0.00135826,0.00135826,0.00135826
5,265.106,1.48486,1.70808,1.68278,0.53754,0.6703,0.65349,0.32769,1.69616,1.48192,2.31899,0.00133469,0.00133469,0.00133469
6,316.558,1.42119,1.55818,1.63918,0.74795,0.79546,0.77956,0.48015,1.29656,1.09985,1.91409,0.00131111,0.00131111,0.00131111
7,367.903,1.36622,1.51676,1.61572,0.70995,0.76841,0.79085,0.5037,1.239,1.15748,1.78334,0.00128753,0.00128753,0.00128753
8,419.247,1.35908,1.50359,1.59492,0.70138,0.67507,0.76051,0.50788,1.17156,1.20255,1.73651,0.00126395,0.00126395,0.00126395
9,470.616,1.30797,1.41952,1.56876,0.73164,0.74606,0.75526,0.42587,1.39389,1.124,1.95533,0.00124037,0.00124037,0.00124037
10,522.026,1.29692,1.36569,1.54546,0.82721,0.75467,0.82978,0.53777,1.22706,0.998,1.82885,0.00121679,0.00121679,0.00121679
11,573.355,1.2785,1.36206,1.53983,0.6912,0.85556,0.85627,0.58379,1.07069,1.02489,1.64145,0.00119322,0.00119322,0.00119322
12,624.71,1.23068,1.25541,1.49819,0.79078,0.8689,0.90973,0.6187,1.08779,0.81778,1.685,0.00116964,0.00116964,0.00116964
13,676.128,1.21439,1.27065,1.50133,0.69577,0.82097,0.85557,0.56873,1.17679,0.97449,1.75786,0.00114606,0.00114606,0.00114606
14,727.461,1.17924,1.21684,1.45925,0.75238,0.85427,0.90265,0.64163,1.01455,0.85093,1.60133,0.00112248,0.00112248,0.00112248
15,778.799,1.17528,1.18659,1.46387,0.80298,0.82076,0.87916,0.60986,1.01621,0.89455,1.62994,0.0010989,0.0010989,0.0010989
16,830.129,1.16609,1.1715,1.44636,0.89348,0.89298,0.93216,0.67348,0.95302,0.71751,1.53331,0.00107532,0.00107532,0.00107532
17,881.493,1.15535,1.14748,1.43824,0.85689,0.89013,0.92181,0.66382,1.01267,0.7335,1.59253,0.00105174,0.00105174,0.00105174
18,932.819,1.13298,1.14574,1.43893,0.82462,0.84846,0.89267,0.63853,1.00861,0.83341,1.59097,0.00102817,0.00102817,0.00102817
19,983.837,1.11502,1.08596,1.40643,0.86032,0.84913,0.91422,0.66097,0.97842,0.73024,1.56848,0.00100459,0.00100459,0.00100459
20,1034.71,1.09768,1.08575,1.40418,0.90937,0.87055,0.94581,0.68237,0.94973,0.68458,1.5258,0.000981008,0.000981008,0.000981008
21,1085.59,1.09655,1.06463,1.40821,0.85195,0.87949,0.91988,0.6744,0.94641,0.6766,1.54768,0.00095743,0.00095743,0.00095743
22,1136.36,1.06509,1.05509,1.38097,0.8967,0.87147,0.9489,0.6928,0.93363,0.6658,1.50381,0.000933851,0.000933851,0.000933851
23,1187.23,1.06031,1.01826,1.37313,0.79669,0.89401,0.91647,0.6659,0.89775,0.74452,1.47992,0.000910273,0.000910273,0.000910273
24,1237.98,1.05398,1.01135,1.36761,0.86912,0.87837,0.90303,0.65577,0.88493,0.70596,1.4684,0.000886694,0.000886694,0.000886694
25,1288.8,1.06158,0.99437,1.37017,0.82599,0.89397,0.91562,0.68301,0.85629,0.70914,1.44579,0.000863116,0.000863116,0.000863116
26,1339.63,1.03108,0.99416,1.36358,0.86654,0.88008,0.92768,0.69452,0.83793,0.67609,1.44245,0.000839537,0.000839537,0.000839537
27,1390.45,1.03521,0.96541,1.35261,0.82918,0.87368,0.90112,0.6776,0.85645,0.76617,1.43917,0.000815959,0.000815959,0.000815959
28,1441.23,1.0105,0.92264,1.33565,0.79685,0.90191,0.91096,0.67923,0.82737,0.75968,1.4032,0.00079238,0.00079238,0.00079238
29,1492.07,1.00548,0.93987,1.33995,0.88732,0.87743,0.92945,0.6945,0.86433,0.67252,1.44514,0.000768802,0.000768802,0.000768802
30,1542.87,0.98735,0.91535,1.32272,0.87221,0.87948,0.94601,0.72553,0.80027,0.6346,1.38046,0.000745223,0.000745223,0.000745223
31,1597.54,0.98372,0.89828,1.31527,0.907,0.90262,0.91541,0.69213,0.84205,0.67354,1.42531,0.000721645,0.000721645,0.000721645
32,1648.94,0.97963,0.89998,1.31873,0.86743,0.88898,0.92215,0.68834,0.91517,0.65764,1.5448,0.000698066,0.000698066,0.000698066
33,1700.49,0.95019,0.89306,1.30208,0.81039,0.88242,0.89212,0.663,0.86974,0.78567,1.4302,0.000674488,0.000674488,0.000674488
34,1751.87,0.97547,0.88842,1.30362,0.86363,0.90596,0.92939,0.71086,0.82618,0.65254,1.42687,0.000650909,0.000650909,0.000650909
35,1803.13,0.95397,0.87424,1.30413,0.88311,0.90542,0.92808,0.69813,0.83251,0.6179,1.42555,0.000627331,0.000627331,0.000627331
36,1854.49,0.94282,0.85206,1.28807,0.81676,0.91798,0.92481,0.70613,0.81153,0.67873,1.38494,0.000603752,0.000603752,0.000603752
37,1905.88,0.94229,0.85307,1.2836,0.77787,0.93362,0.90505,0.69456,0.80528,0.73198,1.37859,0.000580174,0.000580174,0.000580174
38,1957.19,0.9037,0.84077,1.26975,0.81348,0.92926,0.93551,0.7333,0.80037,0.6519,1.38817,0.000556595,0.000556595,0.000556595
39,2008.57,0.92343,0.8297,1.27718,0.87422,0.9111,0.9454,0.71528,0.80246,0.60103,1.38861,0.000533017,0.000533017,0.000533017
40,2059.9,0.91128,0.80943,1.26914,0.85341,0.93105,0.93567,0.71919,0.78353,0.61719,1.35933,0.000509438,0.000509438,0.000509438
41,2111.22,0.88731,0.80917,1.26532,0.86074,0.91701,0.93343,0.7224,0.77909,0.63113,1.36545,0.00048586,0.00048586,0.00048586
42,2162.61,0.88147,0.79358,1.24787,0.82769,0.93379,0.92876,0.71164,0.80388,0.64361,1.37554,0.000462281,0.000462281,0.000462281
43,2213.92,0.87567,0.79406,1.24794,0.82607,0.91621,0.93908,0.7193,0.77545,0.70146,1.35551,0.000438703,0.000438703,0.000438703
44,2265.24,0.86895,0.77723,1.2403,0.85323,0.90942,0.93252,0.72321,0.76922,0.66419,1.36328,0.000415124,0.000415124,0.000415124
45,2316.62,0.86892,0.7665,1.24701,0.86913,0.91401,0.93727,0.74236,0.73764,0.61341,1.32122,0.000391546,0.000391546,0.000391546
46,2367.93,0.84915,0.75046,1.2277,0.9085,0.91121,0.951,0.75798,0.74175,0.56866,1.33379,0.000367967,0.000367967,0.000367967
47,2419.25,0.85282,0.76727,1.23368,0.81794,0.90279,0.91709,0.71491,0.76689,0.64729,1.3331,0.000344389,0.000344389,0.000344389
48,2470.5,0.85101,0.74796,1.23201,0.86628,0.91693,0.93182,0.74,0.75629,0.60734,1.32185,0.00032081,0.00032081,0.00032081
49,2521.68,0.81741,0.72606,1.21109,0.82468,0.91401,0.92325,0.73801,0.71762,0.68461,1.30081,0.000297232,0.000297232,0.000297232
50,2572.5,0.8171,0.73399,1.21856,0.83973,0.91128,0.93985,0.74808,0.74036,0.61905,1.32568,0.000273654,0.000273654,0.000273654
51,2629.99,0.67185,0.48028,1.13157,0.80134,0.86184,0.91853,0.72383,0.73308,0.75864,1.32001,0.000250075,0.000250075,0.000250075
