epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,235.711,1.6154,1.86028,1.76615,0.43677,0.55624,0.51145,0.2799,1.54541,1.10759,1.71918,0.00333085,0.00333085,0.00333085
2,462.155,1.57451,1.45469,1.72391,0.426,0.54753,0.45482,0.22459,1.73728,1.18247,1.87106,0.00663119,0.00663119,0.00663119
3,691.362,1.68574,1.66111,1.8292,0.33577,0.59187,0.43927,0.2152,1.73803,1.35164,1.92213,0.00989854,0.00989854,0.00989854
4,918.99,1.69919,1.70856,1.85521,0.37358,0.57615,0.46269,0.24277,1.6809,1.22139,1.88451,0.0098515,0.0098515,0.0098515
5,1141.22,1.61723,1.56536,1.79044,0.45836,0.55242,0.52476,0.28345,1.60698,1.15361,1.81078,0.009802,0.009802,0.009802
6,1362.16,1.56824,1.49461,1.74591,0.4649,0.61879,0.52781,0.29555,1.54666,1.05887,1.74225,0.0097525,0.0097525,0.0097525
7,1590.01,1.53909,1.4295,1.71002,0.5196,0.59749,0.55697,0.31383,1.51231,1.00401,1.71677,0.009703,0.009703,0.009703
8,1822.88,1.51606,1.39498,1.68362,0.57584,0.5635,0.57284,0.33171,1.46917,0.98998,1.67536,0.0096535,0.0096535,0.0096535
9,2045.08,1.49291,1.34013,1.66447,0.49603,0.5931,0.55272,0.31603,1.48146,0.99206,1.66412,0.009604,0.009604,0.009604
10,2270.07,1.47257,1.32082,1.64556,0.54753,0.61471,0.59802,0.36853,1.43415,0.92358,1.64477,0.0095545,0.0095545,0.0095545
11,2494.25,1.46525,1.29458,1.63199,0.59381,0.62258,0.60973,0.3689,1.42265,0.87385,1.62522,0.009505,0.009505,0.009505
12,2718.02,1.44793,1.26794,1.61693,0.57579,0.63353,0.62371,0.38219,1.3752,0.87922,1.58375,0.0094555,0.0094555,0.0094555
13,2939.61,1.43763,1.25517,1.61089,0.61205,0.63396,0.6382,0.38955,1.38506,0.85808,1.58166,0.009406,0.009406,0.009406
14,3164.02,1.42087,1.22285,1.58891,0.57158,0.6414,0.63046,0.38503,1.37819,0.84284,1.56348,0.0093565,0.0093565,0.0093565
15,3385.03,1.41111,1.21194,1.58658,0.62489,0.65137,0.6561,0.40826,1.37974,0.81897,1.5705,0.009307,0.009307,0.009307
16,3604.05,1.41255,1.20689,1.57902,0.57241,0.7094,0.64996,0.40867,1.36209,0.81203,1.55093,0.0092575,0.0092575,0.0092575
17,3824.14,1.40076,1.18755,1.57175,0.64704,0.67288,0.67448,0.42221,1.35292,0.79563,1.54418,0.009208,0.009208,0.009208
18,4044.71,1.39144,1.1702,1.5581,0.63179,0.65636,0.67193,0.42172,1.36049,0.78458,1.54699,0.0091585,0.0091585,0.0091585
19,4267.73,1.37586,1.15676,1.54738,0.60287,0.67556,0.66293,0.41452,1.34956,0.78482,1.53637,0.009109,0.009109,0.009109
20,4490.66,1.37848,1.1457,1.54231,0.60659,0.70671,0.6718,0.42105,1.34326,0.775,1.52129,0.0090595,0.0090595,0.0090595
21,4714,1.37424,1.14375,1.54689,0.63319,0.66164,0.66814,0.42247,1.32296,0.77612,1.51242,0.00901,0.00901,0.00901
22,4935.95,1.3619,1.12182,1.53525,0.65836,0.68857,0.6951,0.44723,1.32249,0.7564,1.51355,0.0089605,0.0089605,0.0089605
23,5156.94,1.3645,1.11576,1.53153,0.62069,0.69516,0.68801,0.44126,1.32509,0.75104,1.50623,0.008911,0.008911,0.008911
24,5377,1.35071,1.1148,1.52233,0.63309,0.69326,0.69293,0.45103,1.29988,0.74192,1.49056,0.0088615,0.0088615,0.0088615
25,5598.05,1.35106,1.09588,1.51946,0.62751,0.66922,0.6883,0.44548,1.30265,0.73725,1.48761,0.008812,0.008812,0.008812
26,5819.19,1.34416,1.09819,1.51427,0.61333,0.72014,0.68735,0.44758,1.30176,0.72969,1.48946,0.0087625,0.0087625,0.0087625
27,6035.09,1.34191,1.08659,1.51332,0.63997,0.70519,0.70025,0.45087,1.2948,0.71835,1.48213,0.008713,0.008713,0.008713
28,6251.11,1.33133,1.07418,1.50434,0.64365,0.7138,0.69498,0.44787,1.30265,0.72221,1.48195,0.0086635,0.0086635,0.0086635
29,6467.04,1.32767,1.06803,1.50051,0.64937,0.70889,0.69971,0.45652,1.29424,0.72098,1.48001,0.008614,0.008614,0.008614
30,6682.88,1.32431,1.06395,1.50492,0.65439,0.67764,0.69551,0.45583,1.28862,0.71472,1.47826,0.0085645,0.0085645,0.0085645
31,6896.1,1.318,1.06051,1.49665,0.6732,0.68739,0.70221,0.45834,1.28477,0.70606,1.47153,0.008515,0.008515,0.008515
32,7109.5,1.31232,1.04932,1.49612,0.66843,0.66881,0.70021,0.46188,1.28911,0.70524,1.47318,0.0084655,0.0084655,0.0084655
